Height,lat,lon,IIiii,RR
8710,28.62583,120.8078,K8949,183
8710,28.62583,120.8078,K8949,289
8710,28.62583,120.8078,K8949,340
8710,28.62583,120.8078,K8949,492
8710,28.62583,120.8078,K8949,526
8640,27.96666667,119.9666667,K3722,29
8640,27.76666667,119.4666667,K9166,30
8640,27.96666667,119.9666667,K3722,20
8640,27.76666667,119.4666667,K9166,58
8640,27.96666667,119.9666667,K3722,49
8640,27.76666667,119.4666667,K9166,33
8640,27.96666667,119.9666667,K3722,28
8640,27.76666667,119.4666667,K9166,6
8640,27.96666667,119.9666667,K3722,35
8640,27.76666667,119.4666667,K9166,2
8640,27.96666667,119.9666667,K3722,26
8640,27.76666667,119.4666667,K9166,3
8640,27.96666667,119.9666667,K3722,14
8640,27.76666667,119.4666667,K9166,0
8560,29.35,121.2166667,K2815,136
8560,27.55,120.0333333,K3343,17
8560,29.35,121.2166667,K2815,195
8560,27.55,120.0333333,K3343,10
8560,29.35,121.2166667,K2815,313
8560,27.55,120.0333333,K3343,18
8560,29.35,121.2166667,K2815,325
8560,27.55,120.0333333,K3343,9
8560,29.35,121.2166667,K2815,275
8560,27.55,120.0333333,K3343,1
8560,29.35,121.2166667,K2815,311
8560,27.55,120.0333333,K3343,14
8560,29.35,121.2166667,K2815,269
8560,27.55,120.0333333,K3343,15
8510,27.86666667,119.8333333,K3057,88
8510,27.96666667,119.4666667,K9151,65
8510,27.86666667,119.8333333,K3057,11
8510,27.96666667,119.4666667,K9151,94
8510,27.86666667,119.8333333,K3057,22
8510,27.96666667,119.4666667,K9151,60
8510,27.86666667,119.8333333,K3057,15
8510,27.96666667,119.4666667,K9151,21
8510,27.86666667,119.8333333,K3057,12
8510,27.96666667,119.4666667,K9151,39
8510,27.86666667,119.8333333,K3057,33
8510,27.96666667,119.4666667,K9151,22
8510,27.86666667,119.8333333,K3057,17
8510,27.96666667,119.4666667,K9151,77
8500,28.91666667,120.5666667,K6125,123
8500,28.91666667,120.5666667,K6125,129
8500,28.91666667,120.5666667,K6125,129
8500,28.91666667,120.5666667,K6125,115
8500,28.91666667,120.5666667,K6125,105
8500,28.91666667,120.5666667,K6125,166
8500,28.91666667,120.5666667,K6125,227
8440,27.48333333,119.7333333,K3914,45
8440,27.48333333,119.7333333,K3914,9
8440,27.48333333,119.7333333,K3914,0
8440,27.48333333,119.7333333,K3914,0
8440,27.48333333,119.7333333,K3914,1
8440,27.48333333,119.7333333,K3914,0
8440,27.48333333,119.7333333,K3914,0
8430,28.73333333,119.6833333,K6116,223
8430,28.73333333,119.6833333,K6116,61
8430,28.73333333,119.6833333,K6116,58
8430,28.73333333,119.6833333,K6116,130
8430,28.73333333,119.6833333,K6116,226
8430,28.73333333,119.6833333,K6116,97
8430,28.73333333,119.6833333,K6116,83
8410,28,119.3666667,K9022,70
