,Height,lat,lon,IIiii,RR
1560,3410,30.51666667,119.8,K5109,19
2074,3410,29.06666667,118.7,K7210,17
2415,3410,29.29333,121.1458,K8772,136
4057,3410,28.26666667,120.4333333,K3335,32
4493,3410,30.51666667,119.8,K5109,20
5007,3410,29.06666667,118.7,K7210,20
5346,3410,29.29333,121.1458,K8772,206
6988,3410,28.26666667,120.4333333,K3335,24
7433,3410,30.51666667,119.8,K5109,50
7947,3410,29.06666667,118.7,K7210,46
8286,3410,29.29333,121.1458,K8772,344
9929,3410,28.26666667,120.4333333,K3335,85
10365,3410,30.51666667,119.8,K5109,61
10879,3410,29.06666667,118.7,K7210,25
11219,3410,29.29333,121.1458,K8772,266
12856,3410,28.26666667,120.4333333,K3335,50
13292,3410,30.51666667,119.8,K5109,76
13806,3410,29.06666667,118.7,K7210,37
14145,3410,29.29333,121.1458,K8772,207
15780,3410,28.26666667,120.4333333,K3335,78
16215,3410,30.51666667,119.8,K5109,40
16727,3410,29.06666667,118.7,K7210,93
17065,3410,29.29333,121.1458,K8772,205
18697,3410,28.26666667,120.4333333,K3335,75
19141,3410,30.51666667,119.8,K5109,55
19655,3410,29.06666667,118.7,K7210,31
19993,3410,29.29333,121.1458,K8772,108
436,3390,29.96666667,120.1,K1631,70
681,3390,29.68333333,121.2166667,K2711,13
1411,3390,29.4,120.6166667,K4631,16
3368,3390,29.96666667,120.1,K1631,180
3612,3390,29.68333333,121.2166667,K2711,44
4343,3390,29.4,120.6166667,K4631,18
6298,3390,29.96666667,120.1,K1631,126
6543,3390,29.68333333,121.2166667,K2711,130
7283,3390,29.4,120.6166667,K4631,97
9240,3390,29.96666667,120.1,K1631,168
9485,3390,29.68333333,121.2166667,K2711,159
10215,3390,29.4,120.6166667,K4631,51
12172,3390,29.96666667,120.1,K1631,84
12417,3390,29.68333333,121.2166667,K2711,119
13142,3390,29.4,120.6166667,K4631,41
15097,3390,29.96666667,120.1,K1631,75
15343,3390,29.68333333,121.2166667,K2711,118
16065,3390,29.4,120.6166667,K4631,45
18017,3390,29.96666667,120.1,K1631,62
18263,3390,29.68333333,121.2166667,K2711,66
18992,3390,29.4,120.6166667,K4631,39
2169,3380,27.96666667,119.0666667,K7841,16
2590,3380,28.55,119.1833333,K9112,12
2793,3380,28.05,119.7666667,K9345,108
5101,3380,27.96666667,119.0666667,K7841,20
5521,3380,28.55,119.1833333,K9112,32
5724,3380,28.05,119.7666667,K9345,53
8041,3380,27.96666667,119.0666667,K7841,6
8461,3380,28.55,119.1833333,K9112,44
8664,3380,28.05,119.7666667,K9345,62
10974,3380,27.96666667,119.0666667,K7841,28
11394,3380,28.55,119.1833333,K9112,46
11597,3380,28.05,119.7666667,K9345,66
13901,3380,27.96666667,119.0666667,K7841,3
14319,3380,28.55,119.1833333,K9112,33
14522,3380,28.05,119.7666667,K9345,130
16822,3380,27.96666667,119.0666667,K7841,0
17240,3380,28.55,119.1833333,K9112,52
17441,3380,28.05,119.7666667,K9345,161
19750,3380,27.96666667,119.0666667,K7841,0
20167,3380,28.55,119.1833333,K9112,61
20369,3380,28.05,119.7666667,K9345,99
704,3370,29.66666667,121.15,K2735,15
3635,3370,29.66666667,121.15,K2735,58
6566,3370,29.66666667,121.15,K2735,114
2062,3365,28.41666667,118.5333333,K7132,37
4995,3365,28.41666667,118.5333333,K7132,61
7935,3365,28.41666667,118.5333333,K7132,46
10867,3365,28.41666667,118.5333333,K7132,61
13794,3365,28.41666667,118.5333333,K7132,12
16715,3365,28.41666667,118.5333333,K7132,4
19643,3365,28.41666667,118.5333333,K7132,135
2084,3360,29.08333333,118.6833333,K7222,12
5016,3360,29.08333333,118.6833333,K7222,14
7956,3360,29.08333333,118.6833333,K7222,33
10889,3360,29.08333333,118.6833333,K7222,16
13816,3360,29.08333333,118.6833333,K7222,13
16737,3360,29.08333333,118.6833333,K7222,70
19665,3360,29.08333333,118.6833333,K7222,52
1893,3350,28.73333333,119.7833333,K6181,209
4826,3350,28.73333333,119.7833333,K6181,55
7766,3350,28.73333333,119.7833333,K6181,81
10698,3350,28.73333333,119.7833333,K6181,161
13625,3350,28.73333333,119.7833333,K6181,120
16547,3350,28.73333333,119.7833333,K6181,113
19474,3350,28.73333333,119.7833333,K6181,54
1822,3340,29,120.4166667,K6101,107
2781,3340,27.58333333,118.9833333,K9333,10
4755,3340,29,120.4166667,K6101,64
5712,3340,27.58333333,118.9833333,K9333,4
7695,3340,29,120.4166667,K6101,72
8652,3340,27.58333333,118.9833333,K9333,18
10627,3340,29,120.4166667,K6101,111
11585,3340,27.58333333,118.9833333,K9333,29
13554,3340,29,120.4166667,K6101,66
14510,3340,27.58333333,118.9833333,K9333,28
16477,3340,29,120.4166667,K6101,89
17429,3340,27.58333333,118.9833333,K9333,9
19403,3340,29,120.4166667,K6101,124
20357,3340,27.58333333,118.9833333,K9333,21
726,3330,29.18333333,121.25,K2822,198
2311,3330,28.31528,121.3458,K8521,206
2318,3330,28.31528,121.3458,K8581,206
2527,3330,28.76666667,120.2666667,K9044,16
3657,3330,29.18333333,121.25,K2822,176
5242,3330,28.31528,121.3458,K8521,378
5249,3330,28.31528,121.3458,K8581,378
5458,3330,28.76666667,120.2666667,K9044,19
6588,3330,29.18333333,121.25,K2822,212
8182,3330,28.31528,121.3458,K8521,379
8189,3330,28.31528,121.3458,K8581,379
8398,3330,28.76666667,120.2666667,K9044,22
9529,3330,29.18333333,121.25,K2822,161
11115,3330,28.31528,121.3458,K8521,235
11122,3330,28.31528,121.3458,K8581,235
11331,3330,28.76666667,120.2666667,K9044,21
12461,3330,29.18333333,121.25,K2822,173
14041,3330,28.31528,121.3458,K8521,215
14048,3330,28.31528,121.3458,K8581,215
14256,3330,28.76666667,120.2666667,K9044,23
15387,3330,29.18333333,121.25,K2822,125
16962,3330,28.31528,121.3458,K8521,159
16969,3330,28.31528,121.3458,K8581,159
17177,3330,28.76666667,120.2666667,K9044,24
18307,3330,29.18333333,121.25,K2822,115
19890,3330,28.31528,121.3458,K8521,94
19897,3330,28.31528,121.3458,K8581,94
20104,3330,28.76666667,120.2666667,K9044,22
1023,3320,27.76666667,120.1333333,K3231,1
3955,3320,27.76666667,120.1333333,K3231,1
6886,3320,27.76666667,120.1333333,K3231,4
9827,3320,27.76666667,120.1333333,K3231,2
12755,3320,27.76666667,120.1333333,K3231,11
15679,3320,27.76666667,120.1333333,K3231,0
18597,3320,27.76666667,120.1333333,K3231,0
2731,3313,28.06666667,118.9666667,K9267,11
5662,3313,28.06666667,118.9666667,K9267,13
8602,3313,28.06666667,118.9666667,K9267,8
11535,3313,28.06666667,118.9666667,K9267,8
14460,3313,28.06666667,118.9666667,K9267,3
17379,3313,28.06666667,118.9666667,K9267,7
20307,3313,28.06666667,118.9666667,K9267,1
1752,3310,29.55,119.8833333,K6031,116
